City,original-name,google-name,lon,lat,population,state_name,state_abbr,code
C001,"Abilene, TX Metro Area",Abilene,-99.7331439,32.4487364,164878,Texas,TX,C001
C002,"Aguadilla-Isabela, PR Metro Area",Aguadilla-Isabela,-67.0243462,18.5007759,327849,PuertoRico,PR,C002
C003,"Akron, OH Metro Area",Akron,-81.5190053,41.0814447,695688,Ohio,OH,C003
C004,"Albany, OR Metro Area",Albany,-123.087973,44.639823,117080,Oregon,OR,C004
C005,"Albany, GA Metro Area",Albany,-84.15848,31.57032,154351,Georgia,GA,C005
C006,"Albany-Schenectady-Troy, NY Metro Area",Albany-Schenectady-Troy,-73.8982419,42.7741015,866964,New York,NY,C006
C007,"Albuquerque, NM Metro Area",Albuquerque,-106.6055534,35.0853336,887976,New Mexico,NM,C007
C008,"Alexandria, LA Metro Area",Alexandria,-92.45763,31.291683,152783,Louisiana,LA,C008
C009,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Allentown-Bethlehem-Easton,-75.4440964,40.6516458,817821,Pennsylvania,PA,C009
C010,"Altoona, PA Metro Area",Altoona,-78.3947359,40.5186809,125485,Pennsylvania,PA,C010
C011,"Amarillo, TX Metro Area",Amarillo,-101.8312969,35.2219971,253391,Texas,TX,C011
C012,"Ames, IA Metro Area",Ames,-93.635305,42.027349,90975,Iowa,IA,C012
C013,"Anchorage, AK Metro Area",Anchorage,-149.9002778,61.2180556,386261,Alaska,AK,C013
C014,"Ann Arbor, MI Metro Area",Ann Arbor,-83.7430378,42.2808256,347784,Michigan,MI,C014
C015,"Anniston-Oxford-Jacksonville, AL Metro Area",Anniston-Oxford-Jacksonville,-85.763814,33.801025,115949,Alabama,AL,C015
C016,"Appleton, WI Metro Area",Appleton,-88.4153847,44.2619309,226172,Wisconsin,WI,C016
C017,"Arecibo, PR Metro Area",Arecibo,-66.7528196,18.3464019,193550,PuertoRico,PR,C017
C018,"Asheville, NC Metro Area",Asheville,-82.5514869,35.5950581,429136,North Carolina,NC,C018
