city_code,population,true_outflow,true_inflow,outflow_gravity,inflow_gravity,sq_error_outflow_gravity,sq_error_inflow_gravity,outflow_scaling,inflow_scaling,sq_error_outflow_scaling,sq_error_inflow_scaling,outflow_gravity_distance,inflow_gravity_distance,sq_error_outflow_gravity_distance,sq_error_inflow_gravity_distance
C001,162152,8806,9952,2805,2830,36016424,50723426,6745,5060,4247721,23931664,7235,4500,2468041,29724304
C002,330923,8332,4964,3516,3470,23192696,2231858,13025,10805,22024249,34117281,12420,7830,16711744,8213956
C003,694579,25404,23796,17913,17858,56116449,35264199,23970,26010,2056356,4901796,24105,25680,1687401,3549456
C004,116786,6508,6378,1569,1561,24389453,23200816,28595,26195,487835569,392713489,29410,23970,524501604,309478464
C005,153718,5403,5321,3108,3099,5265384,4938717,6345,4890,887364,185761,6220,5020,667489,90601
C006,861910,25410,27382,20280,20304,26312136,50100854,4900,4020,420660100,545783044,4765,3660,426216025,562733284
C007,881976,26580,26694,13227,13220,178300635,181538383,29955,26995,11390625,90601,29810,21775,10432900,24196561
C008,152439,4020,3172,2845,2831,1379964,116089,6395,4995,5640625,3323329,6490,4655,6100900,2199289
C009,815697,29237,28470,25793,25758,11862913,7352858,27550,25200,2845969,10692900,27215,36420,4088484,63202500
C010,126730,3825,2716,3309,3259,265981,295205,5605,4230,3168400,2292196,5220,4875,1946025,4661281
C011,253857,9082,7303,4111,4073,24713868,10431953,10120,8260,1077444,915849,9445,6575,131769,529984
C012,84455,6295,8132,1632,1747,21747589,40766659,3830,2685,6076225,29669809,3560,2845,7480225,27952369
C013,417789,47592,16045,2797,2569,2006560993,181590135,15685,13385,1018056649,7075600,15405,3195,1036002969,165122500
C014,337909,25964,30058,9054,9284,285959832,431562065,12915,25245,170276401,23164969,12620,20550,178062336,90402064
C015,113613,3708,5242,2564,2599,1309177,6984879,4720,3920,1024144,1747684,5070,4400,1855044,708964
C016,227751,9559,8233,4778,4721,22858105,12332201,8715,7195,712336,1077444,8690,8215,755161,324
C017,195221,4428,2792,2166,2141,5116352,423691,7715,6185,10804369,11512449,7685,5380,10608049,6697744
C018,422892,15243,19084,9964,10045,27870935,81694992,15935,13250,478864,34035556,15655,15485,169744,12952801
C019,187727,9552,14174,4390,4510,26648725,93398279,7535,6140,4068289,64545156,7440,7215,4460544,48427681
C020,5356705,156697,161215,111171,111022,2072612819,2519370280,137385,165995,372953344,22848400,146075,173050,112826884,140067225
C021,272535,10954,9909,8573,8549,5668587,1850634,10420,8320,285156,2524921,10695,11685,67081,3154176
C022,140116,9508,12663,2991,3098,42473751,91489329,5785,4470,13860729,67125249,5865,5145,13271449,56520324
C023,565354,22937,23615,12294,12277,113269697,128548421,20355,17220,6666724,40896025,19885,18775,9314704,23425600
C024,1759298,68810,100805,32014,32697,1353948106,4638668182,55770,54710,170041600,2124749025,54695,54540,199233225,2140450225
C025,2715794,87393,78628,77091,76831,106120916,3229841,97780,100130,107889769,462336004,74910,113705,155825289,1230395929
C026,149441,4026,4929,2361,2391,2770914,6438956,6295,5100,5148361,29241,6415,3155,5707321,3147076
C027,213931,8609,7413,4522,4495,16703809,8515609,8535,6770,5476,413449,8755,5845,21316,2458624
