city_code,population,true outflow,true inflow,Gravity 1 outflow,Gravity1 inflow,square error outflow Gravity,square error inflow Gravity,Gravity1 log outflow,Gravity1 log inflow,square error outflow Gravity log,square error inflow Gravity log,scaling gravity outflow,scaling gravity inflow,square error outflow Scaling gravity,square error inflow Scaling gravity,scaling distance outflow,scaling distance inflow,square error outflow Scaling distance,square error inflow Scaling distance,radiation outflow,radiation inflow
C001,162152,8806,9952,2804.631488,2829.961971,36016424.01,50723425.68,10227.93573,11947.6485,2021901.22,3982612.927,6745,5060,4247721,23931664,7235,4500,2468041,29724304,1911.118728,2983.392953
C002,330923,8332,4964,3516.120456,3470.059439,23192695.79,2231858.401,10879.90306,11644.96885,6491809.996,44635344.8,13025,10805,22024249,34117281,12420,7830,16711744,8213956,0,3124.806809
C003,694579,25404,23796,17912.9087,17857.6333,56116448.9,35264199.04,50339.39885,51567.998,621774115.9,771283872.8,23970,26010,2056356,4901796,24105,25680,1687401,3549456,0,19546.13057
C004,116786,6508,6378,1569.432062,1561.277497,24389453.28,23200815.67,6585.534303,7722.455742,6011.56813,1807561.241,28595,26195,487835569,392713489,29410,23970,524501604,309478464,0,3990.452853
C005,153718,5403,5321,3108.357596,3098.677611,5265383.76,4938716.802,12528.56408,14396.13891,50773663.53,82358146.3,6345,4890,887364,185761,6220,5020,667489,90601,0,2209.077675
C006,861910,25410,27382,20280.46439,20303.80431,26312135.57,50100854.28,48565.29034,49824.10943,536167470.6,503648275.5,4900,4020,420660100,545783044,4765,3660,426216025,562733284,0,12077.34808
C007,881976,26580,26694,13227.07391,13220.38197,178300635.1,181538382.9,30267.00711,30447.75998,13594021.45,14090713.97,29955,26995,11390625,90601,29810,21775,10432900,24196561,0,12731.62931
C008,152439,4020,3172,2845.281421,2831.281849,1379963.741,116088.8585,11011.82544,12724.08012,48885623.02,91242234.68,6395,4995,5640625,3323329,6490,4655,6100900,2199289,0,2475.557511
C009,815697,29237,28470,25792.74206,25758.38469,11862912.74,7352857.565,62203.11991,65247.78148,1086765062,1352605210,27550,25200,2845969,10692900,27215,36420,4088484,63202500,0,21518.48296
C010,126730,3825,2716,3309.266182,3259.327569,265981.3713,295204.8474,13899.99503,16328.02959,101505524.9,185287349.6,5605,4230,3168400,2292196,5220,4875,1946025,4661281,0,2885.530123
C011,253857,9082,7303,4110.695496,4073.146651,24713868.47,10431952.65,13245.98379,14670.25337,17338760.97,54276422.27,10120,8260,1077444,915849,9445,6575,131769,529984,0,2473.159665
C012,84455,6295,8132,1631.568998,1747.122655,21747588.71,40766658.71,7524.771634,9542.423789,1512338.272,1989295.264,3830,2685,6076225,29669809,3560,2845,7480225,27952369,0,2142.339596
C013,417789,47592,16045,2797.346374,2569.461618,2006560993,181590134.7,6626.863978,6718.701447,1678142369,86979844.71,15685,13385,1018056649,7075600,15405,3195,1036002969,165122500,0,1040.228135
C014,337909,25964,30058,9053.653109,9283.928058,285959832,431562065.1,30571.42195,34136.4628,21228337.07,16633858.79,12915,25245,170276401,23164969,12620,20550,178062336,90402064,0,9895.910598
C015,113613,3708,5242,2563.807053,2599.107769,1309177.5,6984879.344,11423.48056,13631.55586,59528640.31,70384647.58,4720,3920,1024144,1747684,5070,4400,1855044,708964,0,2374.410932
C016,227751,9559,8233,4777.984914,4721.276611,22858105.26,12332201.16,17976.53512,19790.51261,70854897.52,133576097.6,8715,7195,712336,1077444,8690,8215,755161,324,0,5173.512289
C017,195221,4428,2792,2166.064636,2141.084195,5116351.589,423691.3855,7933.7598,8898.895575,12290351.77,37294173.56,7715,6185,10804369,11512449,7685,5380,10608049,6697744,0,3968.482441
C018,422892,15243,19084,9963.706935,10045.47179,27870935.26,81694992.28,31943.04045,34046.79693,278891351,223885291.9,15935,13250,478864,34035556,15655,15485,169744,12952801,0,7524.901536
C019,187727,9552,14174,4389.759657,4509.721516,26648725.36,93398278.61,17034.26174,19779.41408,55984240.74,31420667,7535,6140,4068289,64545156,7440,7215,4460544,48427681,0,3059.769665
C020,5356705,156697,161215,111171.0424,111021.671,2072612819,2519370280,189684.98,160754.8515,1088206825,211736.6113,137385,165995,372953344,22848400,146075,173050,112826884,140067225,0,24976.18876
C021,272535,10954,9909,8573.120547,8548.61984,5668586.968,1850634.18,27359.7886,31514.745,269149899.7,466808217.1,10420,8320,285156,2524921,10695,11685,67081,3154176,0,6791.751251
C022,140116,9508,12663,2990.811104,3097.994584,42473751.11,91489328.61,12541.47929,14895.2825,9201996.593,4983085.168,5785,4470,13860729,67125249,5865,5145,13271449,56520324,0,3436.030688
C023,565354,22937,23615,12294.17626,12277.08037,113269697.1,128548421.4,35829.1049,37062.14168,166206368.7,180825619.3,20355,17220,6666724,40896025,19885,18775,9314704,23425600,0,6744.562114
C024,1759298,68810,100805,32013.96617,32697.23112,1353948106,4638668182,64676.98235,62626.72503,17081834.91,1457580680,55770,54710,170041600,2124749025,54695,54540,199233225,2140450225,0,44113.04362
C025,2715794,87393,78628,77091.49931,76830.82411,106120916.5,3229841.185,144822.9546,134686.5876,3298199691,3142565246,97780,100130,107889769,462336004,74910,113705,155825289,1230395929,0,42970.96019
